Devices,,,,
1000,,,,
,,1412755 - Force,,
Frame,Sub Frame,Fx,Fy,Fz
,,N,N,N
38,1,-1.06998,-6.01809,-599.95
38,2,-1.10324,-6.0532,-600.229
38,3,-1.1377,-6.0835,-600.476
39,0,-1.17501,-6.11449,-600.676
39,1,-1.21456,-6.14846,-600.817
39,2,-1.24921,-6.18059,-600.878
39,3,-1.26712,-6.20668,-600.863
40,0,-1.26271,-6.22929,-600.822
40,1,-1.2463,-6.25478,-600.832
40,2,-1.23586,-6.28743,-600.951
40,3,-1.24145,-6.32822,-601.191
41,0,-1.26399,-6.37536,-601.514
41,1,-1.30056,-6.42374,-601.852
41,2,-1.34487,-6.46727,-602.137
41,3,-1.38952,-6.50213,-602.332
42,0,-1.42835,-6.52795,-602.449
42,1,-1.4564,-6.54894,-602.536
42,2,-1.47323,-6.57192,-602.636
42,3,-1.48264,-6.60051,-602.748
43,0,-1.48698,-6.63324,-602.859
43,1,-1.48755,-6.66616,-602.945
43,2,-1.48698,-6.6945,-602.959
43,3,-1.48625,-6.71285,-602.866
44,0,-1.4841,-6.71664,-602.706
44,1,-1.47964,-6.70808,-602.546
44,2,-1.4715,-6.70063,-602.402
44,3,-1.45894,-6.70808,-602.246
45,0,-1.44901,-6.73062,-602.075
45,1,-1.45598,-6.7592,-601.923
45,2,-1.48646,-6.78493,-601.831
45,3,-1.53175,-6.80059,-601.813
46,0,-1.57723,-6.80337,-601.843
46,1,-1.61001,-6.79719,-601.877
46,2,-1.62133,-6.78752,-601.884
46,3,-1.61182,-6.77361,-601.848
47,0,-1.59153,-6.75001,-601.762
47,1,-1.57081,-6.71651,-601.629
47,2,-1.55224,-6.68184,-601.483
47,3,-1.5305,-6.65778,-601.365
48,0,-1.49829,-6.64874,-601.281
48,1,-1.4551,-6.64706,-601.205
48,2,-1.41288,-6.64269,-601.097
48,3,-1.38656,-6.6314,-600.937
49,0,-1.37995,-6.60997,-600.759
49,1,-1.38786,-6.57406,-600.641
49,2,-1.40354,-6.52385,-600.621
49,3,-1.42103,-6.46479,-600.664
50,0,-1.43791,-6.40314,-600.697
50,1,-1.45426,-6.34473,-600.68
50,2,-1.46729,-6.29376,-600.624
50,3,-1.4718,-6.24883,-600.549
51,0,-1.46709,-6.20438,-600.452
51,1,-1.45977,-6.15867,-600.327
51,2,-1.45742,-6.11543,-600.185
51,3,-1.46267,-6.07622,-600.033
52,0,-1.47355,-6.03523,-599.861
52,1,-1.48343,-5.98534,-599.686
52,2,-1.4806,-5.9274,-599.555
52,3,-1.46,-5.87054,-599.493
53,0,-1.43686,-5.82344,-599.464
53,1,-1.4341,-5.78674,-599.422
53,2,-1.45786,-5.75448,-599.363
53,3,-1.49595,-5.71939,-599.325
54,0,-1.53157,-5.67501,-599.328
54,1,-1.55242,-5.61777,-599.34
54,2,-1.556,-5.55061,-599.334
54,3,-1.55,-5.48304,-599.332
55,0,-1.54389,-5.42512,-599.343
55,1,-1.54073,-5.38033,-599.336
55,2,-1.53502,-5.3435,-599.295
55,3,-1.51882,-5.30316,-599.217
56,0,-1.49219,-5.24868,-599.091
56,1,-1.46291,-5.17917,-598.903
56,2,-1.43756,-5.10291,-598.643
56,3,-1.42079,-5.02811,-598.344
57,0,-1.41803,-4.95724,-598.08
57,1,-1.43048,-4.88932,-597.913
57,2,-1.45201,-4.82332,-597.846
57,3,-1.47626,-4.76024,-597.83
58,0,-1.50219,-4.70573,-597.814
58,1,-1.52888,-4.66803,-597.768
58,2,-1.54973,-4.65012,-597.661
58,3,-1.55741,-4.64631,-597.458
59,0,-1.55263,-4.64764,-597.17
59,1,-1.54255,-4.64686,-596.884
59,2,-1.53181,-4.63921,-596.712
59,3,-1.52164,-4.625,-596.699
60,0,-1.51607,-4.61026,-596.79
60,1,-1.52091,-4.59941,-596.874
60,2,-1.53588,-4.58893,-596.86
60,3,-1.55514,-4.57109,-596.728
61,0,-1.57633,-4.54212,-596.543
61,1,-1.60093,-4.50571,-596.388
61,2,-1.62779,-4.46932,-596.294
61,3,-1.65315,-4.43631,-596.206
62,0,-1.67278,-4.40232,-596.035
62,1,-1.68149,-4.36159,-595.758
62,2,-1.67407,-4.31494,-595.458
62,3,-1.65081,-4.26956,-595.26
63,0,-1.6218,-4.23266,-595.236
63,1,-1.60181,-4.20668,-595.349
63,2,-1.60007,-4.18934,-595.495
63,3,-1.61461,-4.17639,-595.6
64,0,-1.63579,-4.16459,-595.673
64,1,-1.65559,-4.15269,-595.743
64,2,-1.67069,-4.14008,-595.807
64,3,-1.67936,-4.12781,-595.85
65,0,-1.68179,-4.11919,-595.868
65,1,-1.67921,-4.11459,-595.857
65,2,-1.66925,-4.11093,-595.803
65,3,-1.64918,-4.10889,-595.689
66,0,-1.62292,-4.11308,-595.538
66,1,-1.59743,-4.12408,-595.434
66,2,-1.5753,-4.13544,-595.457
66,3,-1.55655,-4.13716,-595.6
67,0,-1.54291,-4.12098,-595.788
67,1,-1.53442,-4.08737,-595.937
67,2,-1.52561,-4.04765,-596.007
67,3,-1.5106,-4.01502,-596.008
68,0,-1.49162,-3.99651,-595.989
68,1,-1.47976,-3.99429,-596.013
68,2,-1.48502,-4.00589,-596.095
68,3,-1.50767,-4.02278,-596.194
69,0,-1.53817,-4.03791,-596.277
69,1,-1.56348,-4.0526,-596.342
69,2,-1.57841,-4.07181,-596.391
69,3,-1.58953,-4.09807,-596.416
70,0,-1.60283,-4.12901,-596.406
70,1,-1.61596,-4.15694,-596.37
70,2,-1.62648,-4.17644,-596.347
70,3,-1.63341,-4.19338,-596.374
71,0,-1.62879,-4.22161,-596.45
71,1,-1.60343,-4.2725,-596.547
71,2,-1.56279,-4.34877,-596.629
71,3,-1.52436,-4.44308,-596.664
72,0,-1.49889,-4.5412,-596.634
72,1,-1.48133,-4.63097,-596.561
72,2,-1.46199,-4.7102,-596.514
72,3,-1.44428,-4.78706,-596.555
73,0,-1.44187,-4.87299,-596.685
73,1,-1.45757,-4.97273,-596.855
73,2,-1.47874,-5.08033,-597.008
73,3,-1.49401,-5.18693,-597.105
74,0,-1.50307,-5.29062,-597.132
74,1,-1.5094,-5.3972,-597.116
74,2,-1.51188,-5.51298,-597.123
74,3,-1.50485,-5.63555,-597.213
75,0,-1.48187,-5.75428,-597.385
75,1,-1.44104,-5.86323,-597.574
75,2,-1.38831,-5.96713,-597.713
75,3,-1.33503,-6.07517,-597.787
76,0,-1.29466,-6.19459,-597.837
76,1,-1.27481,-6.32599,-597.926
76,2,-1.26902,-6.46238,-598.064
76,3,-1.2647,-6.59528,-598.184
77,0,-1.25507,-6.7218,-598.216
77,1,-1.23789,-6.84604,-598.174
77,2,-1.2134,-6.97257,-598.117
77,3,-1.18575,-7.0993,-598.094
78,0,-1.15706,-7.22041,-598.114
78,1,-1.12265,-7.33335,-598.187
78,2,-1.07909,-7.43926,-598.347
78,3,-1.02872,-7.54075,-598.609
79,0,-0.971293,-7.64322,-598.921
79,1,-0.902046,-7.75583,-599.166
79,2,-0.820608,-7.88641,-599.271
79,3,-0.735651,-8.03569,-599.283
80,0,-0.661481,-8.19886,-599.314
80,1,-0.610809,-8.37117,-599.44
80,2,-0.586004,-8.55063,-599.661
80,3,-0.57437,-8.7361,-599.934
81,0,-0.558387,-8.9233,-600.237
81,1,-0.531084,-9.10497,-600.615
81,2,-0.49243,-9.27424,-601.112
81,3,-0.4379,-9.42586,-601.65
82,0,-0.361671,-9.55722,-602.047
82,1,-0.26532,-9.66902,-602.185
82,2,-0.160466,-9.76442,-602.118
82,3,-0.0663922,-9.85088,-602.026
83,0,0.000276346,-9.93954,-602.067
83,1,0.0397278,-10.038,-602.304
83,2,0.0673931,-10.1447,-602.721
83,3,0.0956603,-10.2523,-603.266
84,0,0.127316,-10.3559,-603.865
84,1,0.165475,-10.456,-604.44
84,2,0.215449,-10.5543,-604.911
84,3,0.275667,-10.647,-605.225
85,0,0.33413,-10.7278,-605.397
85,1,0.378004,-10.7953,-605.485
85,2,0.406864,-10.8532,-605.534
85,3,0.431869,-10.9073,-605.563
86,0,0.461447,-10.9646,-605.592
86,1,0.494012,-11.0294,-605.629
86,2,0.524981,-11.1015,-605.665
86,3,0.555724,-11.1787,-605.706
87,0,0.593733,-11.261,-605.781
87,1,0.642895,-11.3517,-605.896
87,2,0.697399,-11.4498,-606.017
87,3,0.74987,-11.5434,-606.112
88,0,0.798707,-11.6195,-606.189
88,1,0.843665,-11.6773,-606.283
88,2,0.882187,-11.7244,-606.39
88,3,0.912946,-11.7641,-606.449
89,0,0.936687,-11.7939,-606.413
89,1,0.95343,-11.8126,-606.29
89,2,0.965108,-11.8221,-606.113
89,3,0.976208,-11.8277,-605.891
90,0,0.986524,-11.8375,-605.63
90,1,0.992744,-11.8602,-605.378
90,2,0.999415,-11.8972,-605.186
90,3,1.0168,-11.9403,-605.047
91,0,1.04549,-11.9824,-604.917
91,1,1.07308,-12.0227,-604.781
91,2,1.0871,-12.0631,-604.643
91,3,1.08227,-12.1051,-604.51
92,0,1.05913,-12.1482,-604.385
92,1,1.02442,-12.1897,-604.255
92,2,0.989259,-12.2279,-604.076
92,3,0.96484,-12.2681,-603.815
93,0,0.959461,-12.3207,-603.505
93,1,0.973978,-12.3888,-603.222
93,2,0.999815,-12.4651,-603.017
93,3,1.02419,-12.5386,-602.87
94,0,1.03678,-12.6025,-602.714
94,1,1.03361,-12.6568,-602.5
94,2,1.01673,-12.7033,-602.227
94,3,0.991505,-12.7399,-601.917
95,0,0.965412,-12.7589,-601.611
95,1,0.945182,-12.7564,-601.351
95,2,0.932243,-12.7418,-601.168
95,3,0.924154,-12.7334,-601.051
96,0,0.919473,-12.7437,-600.955
96,1,0.91667,-12.7736,-600.855
96,2,0.910264,-12.818,-600.782
96,3,0.892224,-12.8704,-600.759
97,0,0.858162,-12.9217,-600.729
97,1,0.811954,-12.9642,-600.592
97,2,0.763243,-12.9999,-600.31
97,3,0.720649,-13.0383,-599.93
98,0,0.688564,-13.0828,-599.532
98,1,0.668286,-13.1283,-599.183
98,2,0.658028,-13.1684,-598.92
98,3,0.650916,-13.2012,-598.746
99,0,0.63782,-13.228,-598.626
99,1,0.615507,-13.2516,-598.522
99,2,0.589214,-13.2747,-598.414
99,3,0.566227,-13.3002,-598.272
100,0,0.549547,-13.3324,-598.062
100,1,0.537478,-13.3732,-597.777
100,2,0.525151,-13.4182,-597.452
100,3,0.505296,-13.4614,-597.133
101,0,0.473219,-13.5018,-596.84
101,1,0.433292,-13.5457,-596.555
101,2,0.398694,-13.6025,-596.258
101,3,0.384315,-13.6752,-595.958
102,0,0.394193,-13.7574,-595.696
102,1,0.414487,-13.837,-595.483
102,2,0.427836,-13.9043,-595.285
102,3,0.432561,-13.956,-595.067
103,0,0.436766,-13.9928,-594.822
103,1,0.44127,-14.0179,-594.559
103,2,0.440993,-14.037,-594.286
103,3,0.4349,-14.0588,-594.022
104,0,0.428542,-14.0931,-593.78
104,1,0.432228,-14.1467,-593.548
104,2,0.453798,-14.2209,-593.307
104,3,0.489855,-14.3143,-593.063
105,0,0.526024,-14.4207,-592.84
105,1,0.54417,-14.5245,-592.616
105,2,0.531464,-14.6063,-592.33
105,3,0.490372,-14.6588,-591.941
106,0,0.440874,-14.692,-591.455
106,1,0.408158,-14.7246,-590.928
106,2,0.406954,-14.7726,-590.451
106,3,0.435667,-14.8427,-590.118
107,0,0.480884,-14.9314,-589.962
107,1,0.529073,-15.03,-589.933
107,2,0.576296,-15.13,-589.936
107,3,0.623867,-15.227,-589.906
